native_pipe_id,material_original,install_year_original,shape_length,diameter,usage_status,soil_ph,mean_low_temp,soil_moisture_index,abandoned,material,install_year,material_original_encode,material_encode,native_pipe_id_encode,install_year_time_stamp,asset_id
WM09952-D,DUC(K),S63.12,24.61831687036465,10.0,True,7.607464393088112,4.924142844296868,6.355881711708727,False,DIP,1987-12-01,3,2,6125,565315200.0,1
WM02595-P,CIP,S29.7,514.0157797367137,10.0,True,7.998868412794156,5.738294510685913,7.589341352671096,False,CAS,1953-07-01,1,1,1564,-520819200.0,2
WM04638-C,CIP,S11.1,447.7479831801829,6.0,True,8.278670697144431,5.193168467833948,5.67780202162204,False,CAS,1935-01-01,1,1,2780,-1104537600.0,3
WM02974-D,DUC(G),S55.2,120.43864644488347,14.0,True,6.409755575647128,6.154922199428103,3.547068826078541,False,DIP,1979-02-01,2,2,1788,286675200.0,4
WM08449-D,DUC(K),H28.9,0.0186696088931057,10.0,True,7.114687093887714,8.418887919298287,4.167609296053767,False,DIP,2015-09-01,3,2,5157,1441065600.0,5
WM08058-C,CIP,S13.6,765.3167343928217,10.0,True,6.710619044602268,6.76817645178602,3.091056993515492,False,CAS,1937-06-01,1,1,4912,-1028332800.0,6
WM07635-C,CIP,S14.1,145.86007118101406,14.0,True,7.653352065971532,6.156720463957012,3.030177926342448,False,CAS,1938-01-01,1,1,4657,-1009843200.0,7
WM09826-C,CIP,S15.4,546.3079812078067,8.0,True,7.738036371270244,3.566434311541099,6.631472276722758,False,CAS,1939-04-01,1,1,6047,-970531200.0,8
WM08486-P,CIP,S4.8,216.0522927754864,4.0,True,5.492832677833531,7.463011135660851,7.345116829923302,False,CAS,1928-08-01,1,1,5188,-1307059200.0,9
WM00851-A,ACON,S18.6,3.5201144712918904,14.0,True,7.846151092643313,4.635549283058702,3.670116720091042,False,AC,1942-06-01,0,0,532,-870566400.0,10
WM07258-C,CIP,S16.8,356.2822926015506,8.0,True,7.42106654508189,7.659924270518456,7.407932548777437,False,CAS,1940-08-01,1,1,4413,-928368000.0,11
WM08329-C,CIP,S1.7,218.3343001770627,12.0,True,6.140224689035214,3.3500074118286465,2.571878222385186,False,CAS,1925-07-01,1,1,5084,-1404432000.0,12
WM00934-C,CIP,S2.11,807.0873563323767,8.0,True,8.240733603382727,7.847704324201041,7.124107221084451,False,CAS,1926-11-01,1,1,586,-1362268800.0,13
WM07734-L,DUC(G),H2.6,20.249545404018136,6.0,True,6.439271461596364,4.187176378417976,6.025843453098028,False,DIP,1989-06-01,2,2,4725,612662400.0,14
WM06567-D,CIP,S13.9,403.4172346299456,6.0,True,6.696895486867209,6.523713477445128,6.577947893574194,False,CAS,1937-09-01,1,1,3974,-1020384000.0,15
WM10002-D,DUC(K),S28.3,19.67633010435384,8.0,True,7.291553736096739,6.746321283582606,2.2650057335559257,False,DIP,1952-03-01,3,2,6158,-562896000.0,16
WM05700-A,ACON,S50.3,405.8079139794572,8.0,True,5.9857646676862455,6.903865114626556,6.357748327095972,False,AC,1974-03-01,0,0,3444,131328000.0,17
WM02066-C,CIP,S14.8,74.83030560458428,4.0,True,7.557936183859412,6.418012292392145,2.403082936763541,False,CAS,1938-08-01,1,1,1256,-991526400.0,18
WM10954-P,DUC(G),S55.6,351.2155426484387,4.0,True,5.413249841559262,7.794234328769951,6.334500152718762,False,DIP,1979-06-01,2,2,6729,297043200.0,19
WM01043-P,PVC,H24.4,68.29539723615017,16.0,True,6.609187449239292,3.967423587218229,2.327108457009663,False,PVC,2011-04-01,4,3,645,1301616000.0,20
WM06754-P,PVC,H1.4,86.84399141560425,4.0,True,6.338626445173592,4.175612661438632,6.179559561116059,False,PVC,1988-04-01,4,3,4096,575856000.0,21
WM03858-C,CIP,T9.3,30.805618943362788,4.0,True,8.488419275416744,6.247249477114026,5.796225048816098,False,CAS,1919-03-01,1,1,2313,-1604361600.0,22
WM05635-C,CIP,S27.5,196.9334361611036,4.0,True,6.780295575188587,1.1457586481787394,1.738173696958258,False,CAS,1951-05-01,1,1,3406,-589248000.0,23
WM05594-C,CIP,S23.2,4.864904453505005,6.0,True,7.496298103237574,6.905557755603018,8.36737941890688,False,CAS,1947-02-01,1,1,3371,-723168000.0,24
WM02656-C,CIP,S4.8,344.4530219640801,4.0,False,7.447598578803786,8.00380580806005,7.5012770716874035,True,CAS,1928-08-01,1,1,1605,-1307059200.0,25
WM00303-C,CIP,S26.11,98.51409285519183,12.0,True,8.155353734236098,3.4928669796546727,3.58927632097858,False,CAS,1950-11-01,1,1,208,-604886400.0,26
WM08685-D,DUC(K),S50.8,292.4421288805752,6.0,True,7.081832667405833,4.451174665679043,7.569572540968508,False,DIP,1974-08-01,3,2,5329,144547200.0,27
WM12435-L,CIP,S24.6,78.71555946155422,12.0,True,8.556172400488457,6.010830414772159,4.560492238782347,False,CAS,1948-06-01,1,1,7606,-681177600.0,28
WM03192-A,ACON,S49.7,12.57812268352427,10.0,True,7.161639323416626,2.920389536690724,10.57781319992947,False,AC,1973-07-01,0,0,1904,110332800.0,29
WM07152-C,CIP,S6.12,165.4213913979111,6.0,True,5.613826440365792,3.88942474862239,2.3242816521250456,False,CAS,1930-12-01,1,1,4347,-1233446400.0,30
WM13141-C,CIP,S20.6,229.68973808631563,6.0,True,7.556197782647484,6.391323197424301,3.4853977639660814,False,CAS,1944-06-01,1,1,8021,-807408000.0,31
WM13928-C,CIP,S17.2,73.00052158645849,6.0,False,5.856182878140568,4.479389121560452,5.411279331074846,True,CAS,1941-02-01,1,1,8534,-912470400.0,32
WM14033-S,STP,S24.12,230.8341477175636,8.0,True,8.288511872185268,7.070753709888256,8.299374550127258,False,SP,1948-12-01,5,4,8597,-665366400.0,33
WM00602-D,DUC(G),H27.2,30.77894492156338,10.0,True,7.3458973591615715,7.9018370147638,7.072720575686555,False,DIP,2014-02-01,2,2,380,1391212800.0,34
WM14555-C,CIP,S20.7,12.463910098165798,4.0,True,6.864698432014014,8.437522361948368,3.0014441575164783,False,CAS,1944-07-01,1,1,8926,-804816000.0,35
WM01616-C,CIP,S27.12,453.778294604941,8.0,True,6.9852248296635455,3.537154953453141,3.2363146675399097,False,CAS,1951-12-01,1,1,999,-570758400.0,36
